,Title,Theme,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,
36,Hindutva Inclusive In Thought? | Ram Mandir Ayodhya | Ram Temple | Ram Temple Inauguration | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 56s,2024-01-18T16:54:11Z,1232,14,3,public,,19,
37,Ayodhya Ram Mandir News | Ram Mandir : Tracing The Longest Legal Battle 1528-2019 | English News,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,54m 1s,2024-01-17T16:31:26Z,43939,606,123,public,,22,
38,Hinduvta : Knowledge Or Belief System | Hinduvta | Hinduism | Ayodhya Ram Mandir | English News,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 53s,2024-01-16T15:45:27Z,873,10,0,public,,19,
39,India Maldives Diplomatic Relations | Relations Between India And Maldives After The Controversy,Foreign Relations (excluding Pakistan),The_Right_Stand_With_Anand_Narasimhan,CNN-News18,24m 36s,2024-01-15T15:47:23Z,5243,32,19,public,,22,
40,"Ram Mandir Ayodhya News | Can An Unfinished Temple Be Consecrated? | Ram, Bharat & Hindutva!",Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,25m 36s,2024-01-15T15:44:35Z,3184,33,3,public,,23,
41,Ram Mandir Ayodhya | Politics Over The 'Pran Pratishtha' Ceremony Of Lord Ram | Ayodhya Ram Temple,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,28m 17s,2024-01-12T17:05:22Z,1971,13,6,public,,19,
42,Ram Mandir Ayodhya | Author Amish Tripathi Full Interview On His New Book 'Idols' | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,26m,2024-01-12T16:59:43Z,5323,112,10,public,,21,
43,Ram Mandir Ayodhya | What Ram Mandir Means For 'Hindu Asmita'? | Ram Temple Ayodhya | English News,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,57m 16s,2024-01-09T15:43:39Z,6260,115,7,public,,20,
44,Sadhavi Ruthambhara On Ayodhya Ram Mandir | Ayodhya Ram Mandir | Sadhavi Ruthambhara Interview,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,18m 37s,2024-01-08T16:23:00Z,795,7,0,public,,19,
45,PM Modi Trip To Indian Islands Prompts Maldives Row | Maldives Controversy | English News | News18,Foreign Relations (excluding Pakistan),The_Right_Stand_With_Anand_Narasimhan,CNN-News18,36m 5s,2024-01-08T15:55:00Z,8788,109,50,public,,22,
46,Sadhavi Ruthambhara Exclusive | Ayodhya Ram Mandir | Sadhavi Ruthambhara Interview | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,17m 25s,2024-01-08T15:50:49Z,632,9,2,public,,19,
